FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
GRANITE,1918.0,NM,2007,Lightning
WADE HILL,2445.0,WY,2007,Lightning
SAGE,6460.0,CA,2007,Lightning
LITTLE THUNDER CREEK,663.0,WY,2007,Railroad
WOOD CREEK,2309.0,ID,2007,Lightning
TRAPPER RIDGE,20159.0,ID,2007,Lightning
BLACK CANYON,584.0,ID,2007,Lightning
GOLDLEDGE,4200.0,CA,2007,Miscellaneous
CHINA,2906.0,CA,2007,Lightning
BALD BUTTE,800.0,OR,2007,Lightning
BEAR CANYON FIRE,52891.0,OR,2007,Lightning
CITADEL,1974.0,WY,2007,Lightning
HURTADO,801.0,NM,2007,Lightning
SOLDIER CREEK COMPLE,3587.0,NE,2007,Lightning
MOONLIGHT,64994.45,CA,2007,Equipment Use
LOCO,1604.0,NM,2007,Lightning
ASPEN,539.0,NM,2007,Lightning
RED HILL,53448.0,OR,2007,Lightning
LOST,10733.0,MT,2007,Lightning
WHEELER,22905.81,CA,2007,Lightning
BALLS CANYON,4801.0,CA,2007,Lightning
FAGAN (WFU),533.0,AZ,2007,Lightning
HAWKENS,2700.9,NV,2007,Equipment Use
NORTH,2200.0,CA,2007,Lightning
HARRIS,2256.0,SD,2007,Equipment Use
HAY CREEK,2442.3,SD,2007,Lightning
MIDDLE FORK,1146.0,MT,2007,Lightning
SLIDE,6000.0,AZ,2007,Lightning
0568,748.0,OR,2007,Miscellaneous
SHEEP TRAIL,8759.0,ID,2007,Lightning
TROUT MEADOWS,3890.0,OR,2007,Lightning
OTTER CREEK,3039.0,OR,2007,Lightning
HIDDEN,1400.0,ID,2007,Lightning
LITTLE GRIDER,2171.0,CA,2007,Lightning
COTTONWOOD,3399.0,WA,2007,Equipment Use
RED BLUFF,62591.0,ID,2007,Lightning
GORMAN,850.0,CA,2007,Equipment Use
FARMINGTON CANYON,670.0,UT,2007,Miscellaneous
INDIAN VALLEY,578.0,ID,2007,Miscellaneous
DEEP CREEK,1051.0,ID,2007,Lightning
GRAY'S CREEK,24900.0,ID,2007,Lightning
PINE,2170.0,CA,2007,Campfire
FOOL CREEK,60038.0,MT,2007,Lightning
AHORN,52505.0,MT,2007,Lightning
ANGORA,3100.0,CA,2007,Campfire
CALBICK,1011.0,MT,2007,Lightning
RAILLEY,21585.0,MT,2007,Lightning
TURTLEHEAD,1408.0,MT,2007,Lightning
CORPORAL,16105.0,MT,2007,Lightning
BIG CREEK WFU,1150.0,UT,2007,Lightning
PATTERSON,1001.0,NM,2007,Lightning
