STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,average_days_to_control,average_hours_to_control,TOTAL_FIRE_SIZE,total_days_to_control,total_hours_to_control
DE,2012,2.0973684210526318,0.0,,39.85,0.0,0.0
DE,2013,2.261111111111111,0.0,,20.35,0.0,0.0
DE,2014,1.6666666666666667,0.0,,5.0,0.0,0.0
DE,2015,4.953125,0.1875,5.313999999999999,79.25,3.0,79.71
FL,1992,22.56743249644731,0.45955882352941174,13.720627306273062,95279.70000000055,125.0,3718.29
FL,1993,17.536323658751076,0.45182724252491696,13.576966666666662,79755.1999999999,136.0,4073.089999999999
FL,1994,29.202662889518667,0.4805194805194805,14.08679653679654,103085.4000000009,111.0,3254.0500000000006
FL,1995,17.791180163213845,1.0182926829268293,27.40012195121951,56682.699999999306,167.0,4493.62
FL,1996,22.889397487758455,0.5913461538461539,16.855913461538464,107511.50000000147,123.0,3506.03
FL,1997,34.03985173824147,0.28804347826086957,9.508913043478262,133163.9000000006,53.0,1749.6400000000003
FL,1998,78.47922293787389,2.970414201183432,74.83801775147933,377720.499999987,1004.0,25295.250000000015
FL,1999,75.37381473376745,0.7846715328467153,21.814175824175827,413349.9999999807,215.0,5955.27
FL,2000,37.33699030620219,0.7209302325581395,20.292245430809388,242653.100000008,279.0,7771.929999999996
FL,2001,84.24831184775938,0.8859934853420195,24.059771241830056,411721.5000000001,272.0,7362.289999999997
FL,2002,19.7875758543595,0.3798076923076923,11.293942307692305,61954.899999999594,79.0,2349.1399999999994
FL,2003,21.774660465116217,0.528169014084507,14.891478873239437,46815.519999999866,75.0,2114.59
FL,2004,56.47618021006179,2.4862745098039216,62.65752941176468,204330.82000000356,634.0,15977.669999999993
FL,2005,16.573891440500894,0.5562913907284768,16.37907284768212,39694.469999999645,84.0,2473.2400000000002
FL,2006,49.57461192179913,2.073369565217391,52.988937329700256,253574.13998000257,763.0,19446.939999999995
FL,2007,119.18136630420338,3.0806845965770173,77.23563725490197,546923.2899699893,1260.0,31512.140000000007
FL,2008,59.41782927214252,2.3495934959349594,59.42113821138212,184492.35989000252,578.0,14617.600000000002
FL,2009,47.92232758952316,2.1538461538461537,54.909954751131224,144533.74001000184,476.0,12135.1
FL,2010,26.49565950273893,1.7587532023911188,44.78979619565217,62874.19999999949,4119.0,98895.87
FL,2011,65.85321137402856,1.044811790479984,27.146408253205163,331175.7999999896,5246.0,135514.87000000017
FL,2012,44.726501448343555,1.0307244501940491,24.851414876033036,138965.24000000342,3187.0,75175.52999999994
FL,2013,35.64828016643625,0.6483975847654435,17.25055809233895,77107.23000000161,1396.0,34000.85000000007
FL,2014,72.9414225746274,0.3046948356807512,8.433098019299138,156386.41000000114,649.0,16604.77
FL,2015,65.54024332810047,0.8596908442330559,18.24181266261927,166996.54,2169.0,42065.62000000004
GA,1992,4.182748103421579,0.0441610946975587,2.7515786993402496,27016.36999999998,284.0,17516.55000000003
GA,1993,4.446887279113127,0.056757950530035337,3.3048667413213937,40515.5899999997,514.0,29512.460000000046
GA,1994,3.7991934993924272,0.059137326627038564,3.129143120393112,25013.88999999974,388.0,20376.979999999945
GA,1995,3.0698443775099977,0.037574076409027865,2.541452208221962,24460.519999999662,298.0,19968.189999999955
GA,1996,3.846828403565643,0.03708219038910901,2.4457544652022305,37975.89000000003,365.0,23826.54000000013
GA,1997,3.0284959911528295,0.05620316402997502,2.9770204424530813,21908.13999999957,405.0,21261.879999999906
GA,1998,6.288149568552093,0.12616201859229748,4.95721621621622,45909.779999998835,95.0,3668.340000000003
