STATE,FIRE_YEAR,average_days_to_control,total_days_to_control
MO,2013,0.09443099273607747,39.0
MO,2014,0.15667466027178256,196.0
MO,2015,0.12649800266311584,95.0
MS,1992,0.017036538892624967,76.0
MS,1993,0.00825619214410808,33.0
MS,1994,0.011097780443911218,37.0
MS,1995,0.013303769401330377,66.0
MS,1996,0.026111791105671155,128.0
MS,1997,0.02706604114038253,75.0
MS,1998,0.023767605633802816,81.0
MS,1999,0.16555678875323715,895.0
MS,2000,0.8741007194244604,243.0
MS,2001,1.0275229357798166,112.0
MS,2002,0.7777777777777778,70.0
MS,2003,0.5930232558139535,51.0
MS,2004,3.2794117647058822,446.0
MS,2005,4.45320197044335,904.0
MS,2006,1.5420560747663552,495.0
MS,2007,0.8418604651162791,181.0
MS,2008,1.2953020134228188,193.0
MS,2009,1.5491803278688523,189.0
MS,2010,1.300970873786408,268.0
MS,2011,2.7521008403361344,655.0
MS,2012,0.07142857142857142,87.0
MS,2013,0.07599193006052454,113.0
MS,2014,0.058558558558558564,130.0
MS,2015,0.13320555821753713,278.0
MT,1992,1.1009913258983892,1777.0
MT,1993,0.6865671641791045,506.0
MT,1994,2.0837589376915218,6120.0
MT,1995,0.9285024154589372,961.0
MT,1996,1.3885480572597138,2716.0
MT,1997,0.9425641025641026,919.0
MT,1998,1.6310160427807487,3050.0
MT,1999,1.0704225352112675,2204.0
MT,2000,5.759753593429158,11220.0
MT,2001,0.8638824439288476,1117.0
MT,2002,1.550769230769231,2016.0
MT,2003,3.162487462387161,6306.0
MT,2004,0.7329450915141431,881.0
MT,2005,1.916471506635441,2455.0
MT,2006,2.2336585365853656,4579.0
MT,2007,2.5690747782002537,4054.0
MT,2008,1.7304277643260697,2144.0
MT,2009,1.6367469879518073,2717.0
MT,2010,2.2293785310734457,1973.0
MT,2011,2.612468407750632,3101.0
MT,2012,2.393955747436589,4436.0
MT,2013,2.5545722713864305,3464.0
MT,2014,2.1936560934891487,2628.0
MT,2015,2.3432664756446995,4089.0
NC,1992,0.3360655737704918,41.0
NC,1993,0.544,68.0
NC,1994,0.3106060606060606,41.0
NC,1995,1.0854700854700854,127.0
NC,1996,0.30927835051546393,30.0
NC,1997,0.8968253968253969,113.0
NC,1998,0.696,87.0
NC,1999,0.6634615384615384,138.0
NC,2000,0.5833333333333334,105.0
NC,2001,0.5150375939849624,137.0
NC,2002,0.5,75.0
NC,2003,0.2207792207792208,17.0
NC,2004,0.3428571428571429,48.0
NC,2005,0.2280701754385965,26.0
NC,2006,0.1851851851851852,30.0
NC,2007,0.8811881188118812,267.0
NC,2008,1.06,212.0
NC,2009,0.42953020134228187,64.0
NC,2010,0.12603982858583312,500.0
NC,2011,0.11345158906134516,614.0
NC,2012,0.07120743034055728,253.0
NC,2013,0.02978339350180505,99.0
NC,2014,0.02619515389652914,120.0
NC,2015,0.04085843995047462,99.0
ND,1992,0.04810126582278481,19.0
ND,1993,0.018421052631578942,7.0
ND,1994,0.030181086519114688,15.0
ND,1995,0.05147058823529412,14.0
ND,1996,0.015533980582524271,8.0
ND,1997,0.01805869074492099,8.0
ND,1998,0.04612159329140461,22.0
ND,1999,0.06331877729257641,29.0
ND,2000,0.17694805194805194,109.0
ND,2001,0.18679245283018867,99.0
ND,2002,0.14365256124721604,129.0
ND,2003,0.10784313725490197,88.0
ND,2004,0.29739776951672864,240.0
ND,2005,0.5861601085481682,432.0
ND,2006,0.12774070543374644,134.0
ND,2007,0.08108108108108109,63.0
ND,2008,0.21696801112656466,156.0
ND,2009,0.11463414634146342,47.0
ND,2010,0.14285714285714285,62.0
ND,2011,0.05865102639296187,20.0
ND,2012,0.10706638115631692,100.0
ND,2013,0.08224299065420561,44.0
ND,2014,0.10588235294117647,54.0
ND,2015,0.11624441132637856,78.0
NE,1992,0.0,0.0
NE,1993,0.07142857142857142,1.0
NE,1994,0.08450704225352113,6.0
NE,1995,0.1276595744680851,6.0
NE,1996,0.08928571428571429,5.0
NE,1997,0.10638297872340426,5.0
NE,1998,0.28205128205128205,11.0
NE,1999,0.04838709677419355,3.0
NE,2000,1.6216216216216215,180.0
NE,2001,0.10526315789473684,8.0
NE,2002,0.10734463276836158,19.0
NE,2003,0.0569620253164557,9.0
NE,2004,0.03636363636363636,6.0
NE,2005,0.03977272727272727,7.0
NE,2006,0.6218487394957983,74.0
NE,2007,0.3157894736842105,12.0
NE,2008,0.3125,5.0
NE,2009,0.2,6.0
NE,2010,0.10526315789473684,2.0
NE,2011,0.030193236714975844,25.0
NE,2012,0.38126540673788006,464.0
NE,2013,0.05463182897862233,23.0
NE,2014,0.0912863070539419,66.0
NE,2015,0.031825795644891124,19.0
NH,1992,,0.0
NH,1993,0.5,1.0
NH,1994,0.6666666666666666,2.0
NH,1995,0.6428571428571429,9.0
NH,1996,0.875,7.0
NH,1997,0.0,0.0
NH,1998,0.2,1.0
NH,1999,0.4,2.0
