STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,TOTAL_FIRE_SIZE
MT,2001,101.40311291328936,162549.19000000285
MT,2002,78.96075767063337,126100.33000000149
MT,2003,302.8718373856675,748396.3101799844
MT,2004,15.214950099800287,22868.069999999832
MT,2005,76.54499665998769,114587.86000000154
MT,2006,352.29758536584677,866652.0599999832
MT,2007,372.8306760140167,744542.8599999913
MT,2008,110.8807441253268,169869.30000000072
MT,2009,32.31431407942212,53706.38999999956
MT,2010,50.41763157894702,57476.0999999996
MT,2011,117.04721008403608,139286.18000000293
MT,2012,543.2629881337635,1007209.5799999976
MT,2013,56.956718175129225,77404.18000000062
MT,2014,29.027364921030703,34919.91999999994
MT,2015,187.58513397642014,350033.86
NC,1992,4.826035814606628,27489.09999999935
NC,1993,5.503577371048079,26461.19999999917
NC,1994,7.829970378114144,44936.19999999707
NC,1995,4.455415952788716,23404.299999999126
NC,1996,4.0957999056158885,17358.000000000142
NC,1997,3.8590425531914327,17411.999999999745
NC,1998,3.911517113783523,16913.399999999954
NC,1999,6.201583766394264,25060.59999999922
NC,2000,7.7900541407656565,38848.99999999833
NC,2001,5.485005526218513,44664.39999999736
NC,2002,5.299105545617069,29621.999999999414
NC,2003,3.9701616854483683,8103.100000000119
NC,2004,3.845636656689005,16701.600000000348
NC,2005,3.9941532781212064,16156.350010000278
NC,2006,4.619480132437254,23369.94999000007
NC,2007,6.921581548599334,50416.799999997536
NC,2008,18.77125741898738,82255.65001000269
NC,2009,5.832524856884596,19358.14999999997
NC,2010,4.143243902439093,16987.300000000283
NC,2011,20.17666850930497,109498.77999999806
NC,2012,9.923784771002627,35318.74999999835
NC,2013,4.25013517572858,14148.700000000445
