STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
ID,2006,0.25,A,2006-07-07
CA,2006,0.25,A,2006-05-29
OR,2006,0.25,A,2006-07-01
ID,2006,96.0,C,2006-07-08
OR,2006,0.25,A,2006-07-03
OR,2006,0.25,A,2006-07-02
NM,2006,0.25,A,2006-07-10
OR,2006,0.25,A,2006-07-04
OR,2006,0.25,A,2006-07-04
CA,2006,0.25,A,2006-07-08
CA,2006,0.25,A,2006-07-18
CA,2006,0.25,A,2006-07-15
CA,2006,0.25,A,2006-07-18
CA,2006,0.25,A,2006-07-09
CA,2006,0.25,A,2006-06-27
CA,2006,0.25,A,2006-07-10
SD,2006,0.25,A,2006-07-21
MT,2006,0.25,A,2006-07-13
MT,2006,0.25,A,2006-07-02
WA,2006,0.25,A,2006-07-21
MT,2006,0.25,A,2006-07-18
ID,2006,0.25,A,2006-07-20
AR,2006,0.25,A,2006-07-16
ID,2006,9.0,B,2006-07-17
NV,2006,0.25,A,2006-07-21
CA,2006,0.25,A,2006-07-22
AZ,2006,295.0,D,2006-06-09
CA,2006,0.25,A,2006-07-22
NM,2006,0.25,A,2006-07-25
MT,2006,0.25,A,2006-07-12
MT,2006,0.25,A,2006-07-12
MT,2006,0.25,A,2006-07-12
ID,2006,0.25,A,2006-07-13
NV,2006,0.25,A,2006-06-24
MT,2006,0.25,A,2006-07-21
NV,2006,0.25,A,2006-07-05
NV,2006,0.25,A,2006-07-07
CA,2006,0.25,A,2006-07-21
UT,2006,0.25,A,2006-07-03
NV,2006,0.25,A,2006-07-21
NM,2006,0.25,A,2006-07-22
AZ,2006,0.25,A,2006-07-21
AZ,2006,0.25,A,2006-07-21
AZ,2006,0.25,A,2006-07-22
AZ,2006,0.25,A,2006-07-25
OR,2006,0.25,A,2006-07-07
OR,2006,0.25,A,2006-07-09
CA,2006,0.25,A,2006-06-24
CA,2006,0.25,A,2006-07-04
MT,2006,0.25,A,2006-07-29
MT,2006,0.25,A,2006-08-01
SD,2006,0.25,A,2006-07-18
CA,2006,0.25,A,2006-07-28
AZ,2006,0.25,A,2006-05-17
OK,2006,95.0,C,2006-07-17
AZ,2006,299.0,D,2006-07-22
ID,2006,0.25,A,2006-07-30
ID,2006,0.25,A,2006-08-02
WY,2006,9.0,B,2006-07-31
AZ,2006,0.25,A,2006-06-29
CA,2006,0.25,A,2006-07-23
CA,2006,0.25,A,2006-07-22
ID,2006,0.25,A,2006-07-11
AZ,2006,0.25,A,2006-07-22
ID,2006,0.25,A,2006-07-07
MT,2006,0.25,A,2006-07-24
CO,2006,0.25,A,2006-07-23
OR,2006,0.25,A,2006-07-10
CA,2006,0.25,A,2006-07-29
CA,2006,0.25,A,2006-06-28
