STATE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
NM,0.25,A,2006/5/23
CO,0.25,A,2006/4/14
NM,0.25,A,2006/6/6
SC,0.25,A,2006/5/29
FL,0.25,A,2006/5/26
FL,0.25,A,2006/5/26
NM,0.25,A,2006/6/7
AZ,0.25,A,2006/2/27
CO,0.25,A,2006/5/20
AZ,0.25,A,2006/4/19
NM,0.25,A,2006/5/23
NM,0.25,A,2006/6/10
AZ,0.25,A,2006/6/15
CA,0.25,A,2006/6/16
CO,0.25,A,2006/6/2
FL,0.25,A,2006/5/25
SD,0.25,A,2006/6/18
NE,0.25,A,2006/6/9
CA,0.25,A,2006/2/14
AZ,0.25,A,2005/7/20
AZ,0.25,A,2005/7/29
CA,0.25,A,2006/6/4
GA,0.25,A,2006/6/23
NM,0.25,A,2006/6/4
NM,0.25,A,2006/5/19
NM,0.25,A,2006/6/27
AZ,0.25,A,2006/6/29
WY,0.25,A,2006/6/20
CA,0.25,A,2006/6/26
CA,0.25,A,2006/6/28
CA,0.25,A,2006/5/28
CA,0.25,A,2006/6/26
CA,0.25,A,2006/6/26
AZ,0.25,A,2006/3/5
NM,0.25,A,2006/6/26
AZ,0.25,A,2006/6/29
CA,0.25,A,2006/6/29
NM,0.25,A,2006/7/2
NM,0.25,A,2006/7/4
CA,0.25,A,2006/6/25
AZ,0.25,A,2006/7/2
NM,0.25,A,2006/6/6
OR,0.25,A,2006/7/1
NC,0.25,A,2006/5/24
NC,0.25,A,2006/6/23
CA,0.25,A,2006/6/27
CA,0.25,A,2006/6/28
AZ,0.25,A,2006/6/16
CA,0.25,A,2006/6/26
NM,0.25,A,2006/7/3
NM,0.25,A,2006/7/2
NM,0.25,A,2006/6/11
OR,0.25,A,2006/6/26
SD,0.25,A,2006/6/30
AZ,0.25,A,2006/6/29
AZ,0.25,A,2006/5/17
AZ,0.25,A,2006/6/29
AZ,0.25,A,2006/6/7
AZ,0.25,A,2006/5/17
NM,0.25,A,2006/6/28
NM,0.25,A,2006/6/30
